id,id_educational_center,id_geographical_area,id_market,id_country
439,7,2,5,30
440,4,2,5,30
441,15,2,5,30
442,12,2,5,30
443,9,2,5,30
444,101,2,5,30
445,6,2,5,30
446,8,2,5,30
447,10,2,5,30
448,11,2,5,30
449,1,2,5,30
450,2,2,5,30
451,3,1,1,31
452,14,1,1,31
453,13,1,1,31
454,7,1,1,31
455,4,1,1,31
456,15,1,1,31
457,12,1,1,31
458,9,1,1,31
459,101,1,1,31
460,6,1,1,31
461,8,1,1,31
462,10,1,1,31
463,11,1,1,31
464,1,1,1,31
465,2,2,5,31
466,3,1,1,32
467,14,1,1,32
468,13,1,1,32
469,7,1,1,32
470,4,1,1,32
471,15,1,1,32
472,12,1,1,32
473,9,1,1,32
474,101,1,1,32
475,6,1,1,32
476,8,1,1,32
477,10,1,1,32
478,11,1,1,32
479,1,1,1,32
480,2,2,5,32
481,3,1,1,33
482,14,1,1,33
483,13,1,1,33
484,7,1,1,33
485,4,1,1,33
486,15,1,1,33
487,12,1,1,33
488,9,1,1,33
489,101,1,1,33
490,6,1,1,33
491,8,1,1,33
492,10,1,1,33
493,11,1,1,33
494,1,1,1,33
495,2,2,5,33
496,3,2,5,34
497,14,2,5,34
498,13,2,5,34
499,7,2,5,34
500,4,2,5,34
501,15,2,5,34
502,12,2,5,34
503,9,2,5,34
504,101,2,5,34
505,6,2,5,34
506,8,2,5,34
507,10,2,5,34
508,11,2,5,34
509,1,2,5,34
510,2,2,5,34
511,3,2,5,35
512,14,2,5,35
513,13,2,5,35
514,7,2,5,35
515,4,2,5,35
516,15,2,5,35
517,12,2,5,35
518,9,2,5,35
519,101,2,5,35
520,6,2,5,35
521,8,2,5,35
522,10,2,5,35
523,11,2,5,35
524,1,2,5,35
525,2,2,5,35
526,3,1,1,36
527,14,1,1,36
528,13,1,1,36
529,7,1,1,36
530,4,1,1,36
531,15,1,1,36
532,12,1,1,36
533,9,1,1,36
534,101,1,1,36
535,6,1,1,36
536,8,1,1,36
537,10,1,1,36
538,11,1,1,36
539,1,1,1,36
540,2,2,5,36
541,3,1,1,37
542,14,1,1,37
543,13,1,1,37
