id,idCurso,idEstudioNormalizadoBI,product_hierarchy_id
189,220548,678,112
190,220549,679,112
191,220550,680,112
192,220551,682,139
193,221167,681,112
194,221168,59,80
195,222420,683,113
196,222421,684,113
197,222422,685,137
198,222423,686,121
199,222424,687,113
200,224733,689,136
201,225483,690,133
202,225483,690,115
203,225484,691,115
204,225485,692,110
205,225486,693,115
206,225489,694,94
207,225566,695,75
208,225567,696,74
209,22613,17,123
210,22890,2,47
211,230086,699,113
212,230116,702,114
213,230117,956,131
214,231714,704,152
215,231715,705,145
216,231720,788,137
217,231723,707,132
218,231731,708,109
219,231915,710,115
220,231963,718,113
221,231964,719,109
222,231969,720,83
223,232202,725,132
224,23233,189,78
225,232721,726,146
226,233104,731,112
227,235610,733,111
228,247330,58,85
229,24879,187,66
230,253573,737,142
231,253577,738,142
232,25380,137,57
233,255285,741,112
234,255286,807,112
235,257237,750,149
236,257701,751,50
237,257702,752,73
238,25829,3,40
239,258990,7,46
240,258991,753,78
241,259110,754,98
242,259111,755,97
243,259112,756,99
244,260238,758,142
245,26027,91,134
246,26027,91,135
247,26368,173,42
248,27024,33,104
249,27024,33,103
250,27391,22,108
251,275224,762,91
252,277430,769,112
253,277432,771,112
254,277466,746,134
255,277473,770,112
256,27763,147,166
257,27764,144,164
258,27766,146,162
259,27767,145,166
260,277762,181,130
261,278232,775,112
262,27848,52,70
263,278947,776,107
264,278963,783,84
265,279563,780,113
266,281294,793,175
267,281295,794,171
268,281296,795,172
269,281297,796,174
270,281298,798,172
271,281299,799,175
272,281300,800,172
273,281301,801,175
274,281302,760,91
275,286666,814,134
276,286666,814,135
277,287811,831,143
278,287899,934,134
279,288677,802,172
280,291636,812,108
281,291637,834,139
282,291639,811,124
283,291640,835,133
284,292094,836,133
285,293179,791,115
286,307485,58,85
287,307487,843,141
288,307928,846,132
289,308923,809,112
290,308926,848,112
291,308927,810,112
292,311398,853,53
293,314901,877,129
294,314901,877,118
295,314901,877,119
296,31581,51,97
297,316915,856,107
298,316916,857,107
299,317443,860,78
300,317504,864,113
301,317505,865,113
302,317506,867,113
303,317507,866,113
304,318072,861,53
305,318073,862,53
306,318184,868,55
307,318206,869,57
308,318207,870,94
309,318208,871,91
310,319898,878,94
311,319899,879,84
312,32010,158,50
313,32015,117,73
314,32021,94,117
315,32021,94,119
316,32021,94,120
317,32021,94,118
318,32181,82,109
319,32223,70,90
320,322829,889,143
321,322831,891,108
322,327610,895,119
323,327610,895,118
324,327610,895,116
325,327611,896,118
326,327611,896,117
327,327613,898,119
328,327613,898,118
329,327613,898,116
330,327614,899,119
331,327614,899,117
332,327614,899,118
