idEstudioNormalizadoBI,EstudioNormalizadoBI,idCurso
173,Música,26368
33,Cuidados paliativos pediátricos,27024
33,Cuidados paliativos pediátricos,27024
22,E.U. Cloud computing,27391
762,Emprendimiento de Negocios de Base y Gestión Tecnológica,275224
769,C.U. Microsoft Innovative Educator (MIE),277430
771,C.U. Aprendizaje Cooperativo y Colaborativo,277432
746,E.U. en Intervención en Trauma y EMDR,277466
770,C.U. Microsoft Innovative Expert (MIE Expert),277473
147,Licenciatura en Derecho,27763
144,Licenciatura en Administración de Empresas,27764
146,Licenciatura en Comunicación,27766
145,Licenciatura en Ciencia Política y Administración Pública,27767
181,Certificación formación profesional (COFPYD),277762
775,C. Acoso Escolar y Riesgos de Internet Generación Z,278232
52,Derecho Penal,27848
776,Psicología Forense,278947
783,Gestión de Marca,278963
780,E.A. en Comunicación Interna,279563
793,Maestría en Administración Pública,281294
794,Maestría en Educación,281295
795,Maestría en Finanzas,281296
796,Maestría en Inteligencia Artificial,281297
798,Maestría en Inteligencia de Negocios,281298
799,Maestría en Juicios Orales,281299
800,Maestría en Mercadotecnia,281300
801,Maestría en Protección de datos,281301
760,Evaluación de la Calidad y Procesos de Certificación en Educación Superior,281302
814,E.U. en Psicología Positiva,286666
814,E.U. en Psicología Positiva,286666
831,P.S.U. en Inglés jurídico TOLES,287811
934,Máster de F.P. en Coaching y Psicología Deportiva,287899
802,Esp. en Alta Gerencia,288677
812,P.A. en Medios de Pago,291636
834,P.A. en Cloud Computing. Arquitecturas y soluciones web,291637
811,P.A. en Consejo de Administración,291639
835,Máster de F.P. en Dirección y Pedagogía Coral,291640
836,E.U. en Dirección de Coros,292094
791,Master en Fotografía Artística y Narrativa Visual,293179
58,MBA,307485
843,Esp. en Tech MBA,307487
846,Máster de F.P. en Marketing de la Moda,307928
809,C.U. Flipped Classroom,308923
848,Ecosistemas de Aprendizaje Digital Apple Google y Microsoft,308926
810,C.U. Administración de Google Workspace para Educación,308927
853,Historia y Geografía,311398
877,E.U. en Gestión y Organización de Empresas Saludables,314901
877,E.U. en Gestión y Organización de Empresas Saludables,314901
877,E.U. en Gestión y Organización de Empresas Saludables,314901
51,Derecho Matrimonial Canónico,31581
856,Intervención Psicológica en Niños y Adolescentes,316915
857,Investigación en Psicología,316916
860,Innovación Educativa,317443
864,ExecutiveMáster en Dirección y Gestión Financiera,317504
865,Executive Máster en Dirección y Gestión de RRHH,317505
867,Executive Máster en Marketing Digital y eCommerce,317506
866,Executive Master en Dirección de Transformación Digital,317507
861,Historia del Arte,318072
862,"Filosofía, Política y Economía",318073
868,Física,318184
869,Ciencia de Datos,318206
870,Desarrollo y Operaciones (DevOps),318207
871,Internet de las Cosas / Internet of Things (IoT),318208
878,Astrofísica y Técnicas de Observación en Astronomía,319898
879,Dirección del Comercio Minorista Omnicanal,319899
158,Marketing,32010
117,Estudios Avanzados de Teatro,32015
94,Programa Avanzado en Nutrición Deportiva,32021
94,Programa Avanzado en Nutrición Deportiva,32021
94,Programa Avanzado en Nutrición Deportiva,32021
94,Programa Avanzado en Nutrición Deportiva,32021
82,E.U. Cuidados paliativos,32181
70,Diseño de Experiencia de Usuario,32223
889,Esp. en Metodología Clínica Jurídica,322829
891,Esp. en Emprendimiento Tecnológico,322831
895,Cáncer Hereditario,327610
895,Cáncer Hereditario,327610
895,Cáncer Hereditario,327610
896,Máster de F.P. en Oficina de Farmacia,327611
896,Máster de F.P. en Oficina de Farmacia,327611
898,Enfermedades Infecciosas,327613
898,Enfermedades Infecciosas,327613
898,Enfermedades Infecciosas,327613
899,E.U. en Redacción Científica,327614
899,E.U. en Redacción Científica,327614
899,E.U. en Redacción Científica,327614
899,E.U. en Redacción Científica,327614
746,E.U. en Intervención en Trauma y EMDR,327646
901,Especialización en Gestión Humana,328059
904,Auditoría de Cuentas,329398
906,Derecho de la Ordenación del Territorio y del Urbanismo,329421
917,Metodología de la Investigación en Ciencias de la Salud,329674
917,Metodología de la Investigación en Ciencias de la Salud,329674
917,Metodología de la Investigación en Ciencias de la Salud,329674
917,Metodología de la Investigación en Ciencias de la Salud,329674
170,Máster de F.P. en Project Management (PMP),33044
927,Producción Audiovisual,330659
926,Especialización en Marketing Digital,333223
39,Curso Preparación para la Certificación PMP,33485
64,Dirección y Gestión Financiera,33570
157,Marketing Digital,33572
928,Prevención y Mediación de Conflictos en Entornos Educativos,337437
64,Dirección y Gestión Financiera,337613
60,Dirección y Gestión de Recursos Humanos,337614
930,Máster de F.P. en Investigación en Experiencia de Usuario,337876
931,Dirección y Gestión Deportiva,338075
933,Máster de F.P. en Coaching y Mentoring,338083
934,Máster de F.P. en Coaching y Psicología Deportiva,338084
936,Máster de F.P. en Dirección de Orquesta,338088
534,Máster de F.P. en Persona y Sociedad en Joseph Ratzinger,338089
148,Licenciatura en Pedagogía,33808
938,Marketing Farmacéutico,338511
158,Marketing,338555
104,E.U. en Trastornos por Déficit de Atención e Hiperactividad (TDAH),34170
947,Especialista en Metodologías Activas y Ecosistemas Digitales,344177
143,Investigación Musical,34687
948,E.U. en Metodologías Activas y Aprendizaje Personalizado,348318
949,E. U. en Ecosistemas Digitales de Aprendizaje,348319
129,Fiscalidad internacional,35160
951,E.U. en Apreciación Musical,352519
952,Máster de F.P. en Digital Marketing 360º,352540
953,E.U. en Nutrición de Precisión y Epidemiología Nutricional,352541
953,E.U. en Nutrición de Precisión y Epidemiología Nutricional,352541
953,E.U. en Nutrición de Precisión y Epidemiología Nutricional,352541
953,E.U. en Nutrición de Precisión y Epidemiología Nutricional,352541
957,Victimología y Criminología Aplicada,352968
958,Derecho Digital,352969
959,Derecho de la Energía y Transición Energética,352970
964,Executive Master en Dirección de Industrias Agroalimentarias (EMDIA),352973
960,Maestría en Administración de Negocios (MBA),352994
961,Maestría en Derecho de la Empresa,352995
962,Maestría en Gestión Minera y Ambiental,352996
963,Maestría en Gestión de Tecnologías de la Información,352997
136,Ingeniería Industrial,35337
183,Propiedad Intelectual e Industrial,35444
309,Máster de F.P. en Revenue Management,35787
969,Máster de F.P. en Humanidades,359617
970,Adaptación Grado en Educación Social,360741
971,Gestión del Patrimonio Cultural y Natural,360744
972,Trabajo Motor en Niños con Trastornos Neurológicos y Discapacidad Intelectual,364465
972,Trabajo Motor en Niños con Trastornos Neurológicos y Discapacidad Intelectual,364465
972,Trabajo Motor en Niños con Trastornos Neurológicos y Discapacidad Intelectual,364465
972,Trabajo Motor en Niños con Trastornos Neurológicos y Discapacidad Intelectual,364465
1159,Programa en Control de Gestión,364994
1160,Programa en Dirección de Operaciones,364995
1161,Programa en Dirección de Personas,364996
1162,Programa en Dirección de Proyectos,364997
1163,Programa en Dirección del Marketing,364998
1164,Programa en Dirección Financiera,364999
1165,Programa en Escritura y Publicación de Artículos Científicos y Casos,365000
1166,Programa en Estadística para la Investigación,365001
1167,Programa en Finanzas Corporativas,365002
1168,Programa en Gestión de la Innovación,365003
1169,Programa en Imagen y Comunicación Política,365004
1170,Programa en Logística,365005
1171,Programa en Marketing Digital,365006
1172,Programa en Metodología de la Investigación,365007
1173,Programa en Metodologías Ágiles,365008
1174,Programa en Negocios Internacionales,365009
974,Fotografía,365427
975,Fotografía Artística,365428
